답변,지능
무겁고 가벼운게 뭔지 배우는게 좋아,수리
어떤 모양이 비슷한지 다른지 아는게 좋아,수리
곱하기가 뭔지 나누기가 뭔지 배우는게 좋아,수리
이 숫자랑 다른 숫자랑 더하거나 빼거나 곱하거나 하면 어떻게 되는지 배우는게 좋아,수리
"일, 이, 삼, 사, 오, 육, 칠, 팔, 구, 십, 십일, 십이, 십삼, 십사, 십오, 십육, 십칠, 십팔, 십구, 이십, 이십일, 이십이, 이십삼, 이십사 까지 숫자를 어떻게 세는지 아는게 좋아",수리
몇 개의 수가 있고 그걸 계산 하는게 좋아,수리
어떻게 계산하는지 배우고 공부하는게 좋아,수리
달력을 어떻게 읽는지 배우는게 좋아,수리
달력이 뭔지 날짜를 어떻게 세는지 지금이 무슨 요일인지 배우는게 좋아,수리
"분수, 수, 숫자가 뭔지 배우는게 좋아",수리
분수가 뭔지 소수가 뭔지 이해하는게 좋아,수리
여러 퍼즐을 가지고 노는게 좋아,수리
시계를 보면서 몇시인지 배우는게 좋아,수리
곱셈을 이욯해서 수를 구하는게 좋아,수리
나는 산수하는게 좋아,수리
나는 산수 공부하는게 좋아,수리
오늘 산수 공부를 하는게 좋아,수리
나는 더하기 빼기 곱하기 나누기를 하는게 좋아,수리
나는 더하기 빼기 곱하기 나누기 공부하는게 좋아,수리
짝 맞추는 게임하는게 좋아,수리
수놀이를 하는게 좋아,수리
도형 놀이하는게 좋아,수리
장난감을 고쳐서 다시 쓰는게 좋아,수리
시계를 직접 만들어 보는게 좋아,수리
새집을 짓는게 좋아,수리
장난감을 만들어보는게 좋아,수리
상자를 만들어서 써보는게 좋아,수리
장난감 카메라를 만들어보는게 좋아,수리
나는 만들기 놀이하는게 좋아,수리
퍼즐 맞추기 하는게 좋아,수리
수를 세는 거 하는게 좋아,수리
셈 하는게 좋아,수리
실험 하는게 좋아,수리
숫자 쓰는게 좋아,수리
숫자를 읽는게 좋아,수리
블록 놀이하는게 좋아,수리
도형놀이 하는게 좋아,수리
비교 놀이 하는게 좋아,수리
게임을 하는게 좋아,수리
컴퓨터를 할 수 있는게 좋아,수리
수를 잘 셀 수 있는게 좋아,수리
덧셈을 잘 할 수 있는게 좋아,수리
뺄셈을 잘 할 수 있는게 좋아,수리
수를 잘 읽을 수 있는게 좋아,수리
수를 잘 쓸 수 있는게 좋아,수리
"더하기, 빼기를 잘 할 수 있는게 좋아",수리
로봇 조립을 잘 할 수 있는게 좋아,수리
나는 연산하는거 잘해,수리
나는 연산하는게 신나,수리
나는 연산하는게 즐거워,수리
연산이 뭔지 배우는거 잘해,수리
연산이 뭔지 배우는게 신나,수리
연산이 뭔지 배우는게 즐거워,수리
나는 더하기 하는거 잘해,수리
나는 더하기 하는게 신나,수리
나는 더하기 하는게 즐거워,수리
나는 빼기 하는거 잘해,수리
나는 빼기 하는게 신나,수리
나는 빼기 하는게 즐거워,수리
나는 곱하기 하는거 잘해,수리
나는 곱하기 하는게 신나,수리
나는 곱하기 하는게 즐거워,수리
덧셈이랑 뺄셈 하는거 잘해,수리
덧셈이랑 뺄셈 하는게 신나,수리
덧셈이랑 뺄셈 하는게 즐거워,수리
곱하기랑 나누기 하는거 잘해,수리
곱하기랑 나누기 하는게 신나,수리
곱하기랑 나누기 하는게 즐거워,수리
"더하기, 빼기, 나누기, 곱하기하는거 잘해",수리
"더하기, 빼기, 나누기, 곱하기하는게 신나",수리
"더하기, 빼기, 나누기, 곱하기하는게 즐거워",수리
나는 나누기 하는거 잘해,수리
나는 나누기 하는게 신나,수리
나는 나누기 하는게 즐거워,수리
나는 도형가지고 노는거 잘해,수리
나는 도형가지고 노는게 신나,수리
나는 도형가지고 노는게 즐거워,수리
"나는 동그라미, 네모, 세모, 별 모양을 가지고 노는거 잘해",수리
"나는 동그라미, 네모, 세모, 별 모양을 가지고 노는게 신나",수리
"나는 동그라미, 네모, 세모, 별 모양을 가지고 노는게 즐거워",수리
나는 모양 나누기 하는거 잘해,수리
나는 모양 나누기 하는게 신나,수리
나는 모양 나누기 하는게 즐거워,수리
모양 맞추기 하는거 잘해,수리
모양 맞추기 하는게 신나,수리
모양 맞추기 하는게 즐거워,수리
패턴 구분해서 맞추는거 잘해,수리
패턴 구분해서 맞추는게 신나,수리
패턴 구분해서 맞추는게 즐거워,수리
"나는 동그라미, 네모, 세모, 별이 어떤건지 알고 비교하는거 잘해",수리
"나는 동그라미, 네모, 세모, 별이 어떤건지 알고 비교하는게 신나",수리
"나는 동그라미, 네모, 세모, 별이 어떤건지 알고 비교하는게 즐거워",수리
색깔 이름이랑 맞추기 하는거 잘해,수리
색깔 이름이랑 맞추기 하는게 신나,수리
색깔 이름이랑 맞추기 하는게 즐거워,수리
색깔 이름이 뭔지 알고 맞추기 놀이하는거 잘해,수리
색깔 이름이 뭔지 알고 맞추기 놀이하는게 신나,수리
색깔 이름이 뭔지 알고 맞추기 놀이하는게 즐거워,수리
어떤게 큰지 구분하는거 잘해,수리
어떤게 큰지 구분하는게 신나,수리
어떤게 큰지 구분하는게 즐거워,수리
둘 중 어느게 더 큰지 맞추는거 잘해,수리
둘 중 어느게 더 큰지 맞추는게 신나,수리
둘 중 어느게 더 큰지 맞추는게 즐거워,수리
퍼즐 맞누는거 잘해,수리
퍼즐 맞누는게 신나,수리
퍼즐 맞누는게 즐거워,수리
규칙을 찾는거 잘해,수리
규칙을 찾는게 신나,수리
규칙을 찾는게 즐거워,수리
원의 넓이를 구하는거 잘해,수리
원의 넓이를 구하는게 신나,수리
원의 넓이를 구하는게 즐거워,수리
"원, 삼각형, 사각형을 구분하는거 잘해",수리
"원, 삼각형, 사각형을 구분하는게 신나",수리
"원, 삼각형, 사각형을 구분하는게 즐거워",수리
사물의 길이를 비교하는거 잘해,수리
사물의 길이를 비교하는게 신나,수리
사물의 길이를 비교하는게 즐거워,수리
어떤게 더 길고 짧은지 비교하는거 잘해,수리
어떤게 더 길고 짧은지 비교하는게 신나,수리
어떤게 더 길고 짧은지 비교하는게 즐거워,수리
촉감으로 느낌 찾는거 잘해,수리
촉감으로 느낌 찾는게 신나,수리
촉감으로 느낌 찾는게 즐거워,수리
손의 느낌으로 뭔지 찾는거 잘해,수리
손의 느낌으로 뭔지 찾는게 신나,수리
손의 느낌으로 뭔지 찾는게 즐거워,수리
촉감으로 무슨 모양인지 맞추는거 잘해,수리
촉감으로 무슨 모양인지 맞추는게 신나,수리
촉감으로 무슨 모양인지 맞추는게 즐거워,수리
손가락으로 어떤 모양인지 맞추는거 잘해,수리
손가락으로 어떤 모양인지 맞추는게 신나,수리
손가락으로 어떤 모양인지 맞추는게 즐거워,수리
숫자 이름과 양 맞추는거 잘해,수리
숫자 이름과 양 맞추는게 신나,수리
숫자 이름과 양 맞추는게 즐거워,수리
숫자 이름이 뭔지와 양이 얼만큼 되는지 구하는거 잘해,수리
숫자 이름이 뭔지와 양이 얼만큼 되는지 구하는게 신나,수리
숫자 이름이 뭔지와 양이 얼만큼 되는지 구하는게 즐거워,수리
"동, 서, 남, 북을 구분하는거 잘해",수리
"동, 서, 남, 북을 구분하는게 신나",수리
"동, 서, 남, 북을 구분하는게 즐거워",수리
어느 방향에 뭐가 있는지 아는거 잘해,수리
어느 방향에 뭐가 있는지 아는게 신나,수리
어느 방향에 뭐가 있는지 아는게 즐거워,수리
위치를 기억해서 맞추는거 잘해,수리
위치를 기억해서 맞추는게 신나,수리
위치를 기억해서 맞추는게 즐거워,수리
여러 도형을 조합해서 다른 도형을 만들 수 있는거 잘해,수리
여러 도형을 조합해서 다른 도형을 만들 수 있는게 신나,수리
여러 도형을 조합해서 다른 도형을 만들 수 있는게 즐거워,수리
여러 모형을 합쳐서 다른 모양을 만드는거 잘해,수리
여러 모형을 합쳐서 다른 모양을 만드는게 신나,수리
여러 모형을 합쳐서 다른 모양을 만드는게 즐거워,수리
직선과 곡선이 어떻게 이루어졌는지 아는거 잘해,수리
직선과 곡선이 어떻게 이루어졌는지 아는게 신나,수리
직선과 곡선이 어떻게 이루어졌는지 아는게 즐거워,수리
어떤게 똑바른 선이고 휘어진 선인지 구분하는거 잘해,수리
어떤게 똑바른 선이고 휘어진 선인지 구분하는게 신나,수리
어떤게 똑바른 선이고 휘어진 선인지 구분하는게 즐거워,수리
숫자를 일부터 십까지 세는거 잘해,수리
숫자를 일부터 십까지 세는게 신나,수리
숫자를 일부터 십까지 세는게 즐거워,수리
나는 숫자를 일부터 열까지 셀 수 있는거 잘해,수리
나는 숫자를 일부터 열까지 셀 수 있는게 신나,수리
나는 숫자를 일부터 열까지 셀 수 있는게 즐거워,수리
나는 숫자를 세는거 잘해,수리
나는 숫자를 세는게 신나,수리
나는 숫자를 세는게 즐거워,수리
면적을 구하는거 잘해,수리
면적을 구하는게 신나,수리
면적을 구하는게 즐거워,수리
얼마나 넓은지 구하는거 잘해,수리
얼마나 넓은지 구하는게 신나,수리
얼마나 넓은지 구하는게 즐거워,수리
나는 얼마나 멀리 떨어져 있는지 구하는거 잘해,수리
나는 얼마나 멀리 떨어져 있는지 구하는게 신나,수리
나는 얼마나 멀리 떨어져 있는지 구하는게 즐거워,수리
앞에 뭐가 있는지와 뒤에 뭐가 있는지 구하는거 잘해,수리
앞에 뭐가 있는지와 뒤에 뭐가 있는지 구하는게 신나,수리
앞에 뭐가 있는지와 뒤에 뭐가 있는지 구하는게 즐거워,수리
앞과 뒤를 구분해서 아는거 잘해,수리
앞과 뒤를 구분해서 아는게 신나,수리
앞과 뒤를 구분해서 아는게 즐거워,수리
교집합이 뭔지 배우는거 잘해,수리
교집합이 뭔지 배우는게 신나,수리
교집합이 뭔지 배우는게 즐거워,수리
여러 모양이 어떤게 비슷한지 아는거 잘해,수리
여러 모양이 어떤게 비슷한지 아는게 신나,수리
여러 모양이 어떤게 비슷한지 아는게 즐거워,수리
어떤 패턴으로 이루어져 있는지 분류하는거 잘해,수리
어떤 패턴으로 이루어져 있는지 분류하는게 신나,수리
어떤 패턴으로 이루어져 있는지 분류하는게 즐거워,수리
어떤 모양으로 되어있어서 어디랑 비슷한지 아는거 잘해,수리
어떤 모양으로 되어있어서 어디랑 비슷한지 아는게 신나,수리
어떤 모양으로 되어있어서 어디랑 비슷한지 아는게 즐거워,수리
여러 방향과 위치를 알 수 있는거 잘해,수리
여러 방향과 위치를 알 수 있는게 신나,수리
여러 방향과 위치를 알 수 있는게 즐거워,수리
얼마나 좁은지 구할 수 있는거 잘해,수리
얼마나 좁은지 구할 수 있는게 신나,수리
얼마나 좁은지 구할 수 있는게 즐거워,수리
같은 색깔과 모양이 같은 물건끼리 나누는거 잘해,수리
같은 색깔과 모양이 같은 물건끼리 나누는게 신나,수리
같은 색깔과 모양이 같은 물건끼리 나누는게 즐거워,수리
어떤 물건의 모양이 같은지 보는거 잘해,수리
어떤 물건의 모양이 같은지 보는게 신나,수리
어떤 물건의 모양이 같은지 보는게 즐거워,수리
"동그라미, 세모, 네모가 어떤 특징이 있고 모양인지 배우는거 잘해",수리
"동그라미, 세모, 네모가 어떤 특징이 있고 모양인지 배우는게 신나",수리
"동그라미, 세모, 네모가 어떤 특징이 있고 모양인지 배우는게 즐거워",수리
시간이 몇시인지 배우는거 잘해,수리
시간이 몇시인지 배우는게 신나,수리
시간이 몇시인지 배우는게 즐거워,수리
지금 시간이 몇시인지 배우는거 잘해,수리
지금 시간이 몇시인지 배우는게 신나,수리
지금 시간이 몇시인지 배우는게 즐거워,수리
시계에 대해서 배우는거 잘해,수리
시계에 대해서 배우는게 신나,수리
시계에 대해서 배우는게 즐거워,수리
"위, 아래, 앞, 뒤, 오른쪽, 왼쪽에 뭐가 있는지 배우는거 잘해",수리
"위, 아래, 앞, 뒤, 오른쪽, 왼쪽에 뭐가 있는지 배우는게 신나",수리
"위, 아래, 앞, 뒤, 오른쪽, 왼쪽에 뭐가 있는지 배우는게 즐거워",수리
물건이 어떤 색깔인지 맞추는거 잘해,수리
물건이 어떤 색깔인지 맞추는게 신나,수리
물건이 어떤 색깔인지 맞추는게 즐거워,수리
나는 숫자를 엄청 잘 셀 수 있는거 잘해,수리
나는 숫자를 엄청 잘 셀 수 있는게 신나,수리
나는 숫자를 엄청 잘 셀 수 있는게 즐거워,수리
오늘 무슨 요일인지 날짜가 뭔지 배우는거 잘해,수리
오늘 무슨 요일인지 날짜가 뭔지 배우는게 신나,수리
오늘 무슨 요일인지 날짜가 뭔지 배우는게 즐거워,수리
요일과 날짜가 뭔지 배우는거 잘해,수리
요일과 날짜가 뭔지 배우는게 신나,수리
요일과 날짜가 뭔지 배우는게 즐거워,수리
더하고 빼는게 뭔지 아는거 잘해,수리
더하고 빼는게 뭔지 아는게 신나,수리
더하고 빼는게 뭔지 아는게 즐거워,수리
어떤게 많고 적은지 배우는거 잘해,수리
어떤게 많고 적은지 배우는게 신나,수리
어떤게 많고 적은지 배우는게 즐거워,수리
안에는 뭐가 있고 밖에는 뭐가 있는지 구분할 줄 아는거 잘해,수리
안에는 뭐가 있고 밖에는 뭐가 있는지 구분할 줄 아는게 신나,수리
안에는 뭐가 있고 밖에는 뭐가 있는지 구분할 줄 아는게 즐거워,수리
숫자를 세는걸 하는거 잘해,수리
숫자를 세는걸 하는게 신나,수리
숫자를 세는걸 하는게 즐거워,수리
이게 얼마나 길고 짧은지 구분하는거 잘해,수리
이게 얼마나 길고 짧은지 구분하는게 신나,수리
이게 얼마나 길고 짧은지 구분하는게 즐거워,수리
얼마나 길고 짧으기 비교하는거 잘해,수리
얼마나 길고 짧으기 비교하는게 신나,수리
얼마나 길고 짧으기 비교하는게 즐거워,수리
계산을 어떻게 하는지 아는거 잘해,수리
계산을 어떻게 하는지 아는게 신나,수리
계산을 어떻게 하는지 아는게 즐거워,수리
계산하는 방법을 배우는거 잘해,수리
계산하는 방법을 배우는게 신나,수리
계산하는 방법을 배우는게 즐거워,수리
큰 수랑 작은 수랑 더하고 빼는거 잘해,수리
큰 수랑 작은 수랑 더하고 빼는게 신나,수리
큰 수랑 작은 수랑 더하고 빼는게 즐거워,수리
얼마나 무거운지 아는거 잘해,수리
얼마나 무거운지 아는게 신나,수리
얼마나 무거운지 아는게 즐거워,수리
무겁고 가벼운게 뭔지 배우는거 잘해,수리
무겁고 가벼운게 뭔지 배우는게 신나,수리
무겁고 가벼운게 뭔지 배우는게 즐거워,수리
어떤 모양이 비슷한지 다른지 아는거 잘해,수리
어떤 모양이 비슷한지 다른지 아는게 신나,수리
어떤 모양이 비슷한지 다른지 아는게 즐거워,수리
곱하기가 뭔지 나누기가 뭔지 배우는거 잘해,수리
곱하기가 뭔지 나누기가 뭔지 배우는게 신나,수리
곱하기가 뭔지 나누기가 뭔지 배우는게 즐거워,수리
이 숫자랑 다른 숫자랑 더하거나 빼거나 곱하거나 하면 어떻게 되는지 배우는거 잘해,수리
이 숫자랑 다른 숫자랑 더하거나 빼거나 곱하거나 하면 어떻게 되는지 배우는게 신나,수리
이 숫자랑 다른 숫자랑 더하거나 빼거나 곱하거나 하면 어떻게 되는지 배우는게 즐거워,수리
"일, 이, 삼, 사, 오, 육, 칠, 팔, 구, 십, 십일, 십이, 십삼, 십사, 십오, 십육, 십칠, 십팔, 십구, 이십, 이십일, 이십이, 이십삼, 이십사 까지 숫자를 어떻게 세는지 아는거 잘해",수리
"일, 이, 삼, 사, 오, 육, 칠, 팔, 구, 십, 십일, 십이, 십삼, 십사, 십오, 십육, 십칠, 십팔, 십구, 이십, 이십일, 이십이, 이십삼, 이십사 까지 숫자를 어떻게 세는지 아는게 신나",수리
"일, 이, 삼, 사, 오, 육, 칠, 팔, 구, 십, 십일, 십이, 십삼, 십사, 십오, 십육, 십칠, 십팔, 십구, 이십, 이십일, 이십이, 이십삼, 이십사 까지 숫자를 어떻게 세는지 아는게 즐거워",수리
몇 개의 수가 있고 그걸 계산 하는거 잘해,수리
몇 개의 수가 있고 그걸 계산 하는게 신나,수리
몇 개의 수가 있고 그걸 계산 하는게 즐거워,수리
어떻게 계산하는지 배우고 공부하는거 잘해,수리
어떻게 계산하는지 배우고 공부하는게 신나,수리
어떻게 계산하는지 배우고 공부하는게 즐거워,수리
달력을 어떻게 읽는지 배우는거 잘해,수리
달력을 어떻게 읽는지 배우는게 신나,수리
달력을 어떻게 읽는지 배우는게 즐거워,수리
달력이 뭔지 날짜를 어떻게 세는지 지금이 무슨 요일인지 배우는거 잘해,수리
달력이 뭔지 날짜를 어떻게 세는지 지금이 무슨 요일인지 배우는게 신나,수리
달력이 뭔지 날짜를 어떻게 세는지 지금이 무슨 요일인지 배우는게 즐거워,수리
"분수, 수, 숫자가 뭔지 배우는거 잘해",수리
"분수, 수, 숫자가 뭔지 배우는게 신나",수리
"분수, 수, 숫자가 뭔지 배우는게 즐거워",수리
분수가 뭔지 소수가 뭔지 이해하는거 잘해,수리
분수가 뭔지 소수가 뭔지 이해하는게 신나,수리
분수가 뭔지 소수가 뭔지 이해하는게 즐거워,수리
여러 퍼즐을 가지고 노는거 잘해,수리
여러 퍼즐을 가지고 노는게 신나,수리
여러 퍼즐을 가지고 노는게 즐거워,수리
시계를 보면서 몇시인지 배우는거 잘해,수리
시계를 보면서 몇시인지 배우는게 신나,수리
시계를 보면서 몇시인지 배우는게 즐거워,수리
곱셈을 이욯해서 수를 구하는거 잘해,수리
곱셈을 이욯해서 수를 구하는게 신나,수리
곱셈을 이욯해서 수를 구하는게 즐거워,수리
나는 산수하는거 잘해,수리
나는 산수하는게 신나,수리
나는 산수하는게 즐거워,수리
나는 산수 공부하는거 잘해,수리
나는 산수 공부하는게 신나,수리
나는 산수 공부하는게 즐거워,수리
오늘 산수 공부를 하는거 잘해,수리
오늘 산수 공부를 하는게 신나,수리
오늘 산수 공부를 하는게 즐거워,수리
나는 더하기 빼기 곱하기 나누기를 하는거 잘해,수리
나는 더하기 빼기 곱하기 나누기를 하는게 신나,수리
나는 더하기 빼기 곱하기 나누기를 하는게 즐거워,수리
나는 더하기 빼기 곱하기 나누기 공부하는거 잘해,수리
나는 더하기 빼기 곱하기 나누기 공부하는게 신나,수리
나는 더하기 빼기 곱하기 나누기 공부하는게 즐거워,수리
짝 맞추는 게임하는거 잘해,수리
짝 맞추는 게임하는게 신나,수리
짝 맞추는 게임하는게 즐거워,수리
수놀이를 하는거 잘해,수리
수놀이를 하는게 신나,수리
수놀이를 하는게 즐거워,수리
도형 놀이하는거 잘해,수리
도형 놀이하는게 신나,수리
도형 놀이하는게 즐거워,수리
장난감을 고쳐서 다시 쓰는거 잘해,수리
장난감을 고쳐서 다시 쓰는게 신나,수리
장난감을 고쳐서 다시 쓰는게 즐거워,수리
시계를 직접 만들어 보는거 잘해,수리
시계를 직접 만들어 보는게 신나,수리
시계를 직접 만들어 보는게 즐거워,수리
새집을 짓는거 잘해,수리
새집을 짓는게 신나,수리
새집을 짓는게 즐거워,수리
장난감을 만들어보는거 잘해,수리
장난감을 만들어보는게 신나,수리
장난감을 만들어보는게 즐거워,수리
상자를 만들어서 써보는거 잘해,수리
상자를 만들어서 써보는게 신나,수리
상자를 만들어서 써보는게 즐거워,수리
장난감 카메라를 만들어보는거 잘해,수리
장난감 카메라를 만들어보는게 신나,수리
장난감 카메라를 만들어보는게 즐거워,수리
나는 만들기 놀이하는거 잘해,수리
나는 만들기 놀이하는게 신나,수리
나는 만들기 놀이하는게 즐거워,수리
퍼즐 맞추기 하는거 잘해,수리
퍼즐 맞추기 하는게 신나,수리
퍼즐 맞추기 하는게 즐거워,수리
수를 세는 거 하는거 잘해,수리
수를 세는 거 하는게 신나,수리
수를 세는 거 하는게 즐거워,수리
셈 하는거 잘해,수리
셈 하는게 신나,수리
셈 하는게 즐거워,수리
실험 하는거 잘해,수리
실험 하는게 신나,수리
실험 하는게 즐거워,수리
숫자 쓰는거 잘해,수리
숫자 쓰는게 신나,수리
숫자 쓰는게 즐거워,수리
숫자를 읽는거 잘해,수리
숫자를 읽는게 신나,수리
숫자를 읽는게 즐거워,수리
블록 놀이하는거 잘해,수리
블록 놀이하는게 신나,수리
블록 놀이하는게 즐거워,수리
도형놀이 하는거 잘해,수리
도형놀이 하는게 신나,수리
도형놀이 하는게 즐거워,수리
비교 놀이 하는거 잘해,수리
비교 놀이 하는게 신나,수리
비교 놀이 하는게 즐거워,수리
게임을 하는거 잘해,수리
게임을 하는게 신나,수리
게임을 하는게 즐거워,수리
컴퓨터를 할 수 있는거 잘해,수리
컴퓨터를 할 수 있는게 신나,수리
컴퓨터를 할 수 있는게 즐거워,수리
수를 잘 셀 수 있는거 잘해,수리
수를 잘 셀 수 있는게 신나,수리
수를 잘 셀 수 있는게 즐거워,수리
덧셈을 잘 할 수 있는거 잘해,수리
덧셈을 잘 할 수 있는게 신나,수리
덧셈을 잘 할 수 있는게 즐거워,수리
뺄셈을 잘 할 수 있는거 잘해,수리
뺄셈을 잘 할 수 있는게 신나,수리
뺄셈을 잘 할 수 있는게 즐거워,수리
수를 잘 읽을 수 있는거 잘해,수리
수를 잘 읽을 수 있는게 신나,수리
수를 잘 읽을 수 있는게 즐거워,수리
수를 잘 쓸 수 있는거 잘해,수리
수를 잘 쓸 수 있는게 신나,수리
수를 잘 쓸 수 있는게 즐거워,수리
"더하기, 빼기를 잘 할 수 있는거 잘해",수리
"더하기, 빼기를 잘 할 수 있는게 신나",수리
"더하기, 빼기를 잘 할 수 있는게 즐거워",수리
로봇 조립을 잘 할 수 있는거 잘해,수리
로봇 조립을 잘 할 수 있는게 신나,수리
로봇 조립을 잘 할 수 있는게 즐거워,수리
과학관 놀러 가고 싶어,수리
박물관 놀러 가고 싶어,수리
애플 매장 놀러 가고 싶어,수리
삼성 매장 놀러 가고 싶어,수리
장난감 나라 놀러 가고 싶어,수리
블록 마을 놀러 가고 싶어,수리
게임 시설 놀러 가고 싶어,수리
나는 과학자이 되고 싶어요,수리
나는 과학자이 될 거예요,수리
나는 과학 교사이 되고 싶어요,수리
나는 과학 교사이 될 거예요,수리
나는 수학자이 되고 싶어요,수리
나는 수학자이 될 거예요,수리
나는 수학 교사이 되고 싶어요,수리
나는 수학 교사이 될 거예요,수리
나는 전략가이 되고 싶어요,수리
나는 전략가이 될 거예요,수리
나는 발명가이 되고 싶어요,수리
나는 발명가이 될 거예요,수리
나는 탐정이 되고 싶어요,수리
나는 탐정이 될 거예요,수리
나는 경찰이 되고 싶어요,수리
나는 경찰이 될 거예요,수리
나는 의사이 되고 싶어요,수리
나는 의사이 될 거예요,수리
나는 증권분석가이 되고 싶어요,수리
나는 증권분석가이 될 거예요,수리
나는 은행원이 되고 싶어요,수리
나는 은행원이 될 거예요,수리
나는 회계사이 되고 싶어요,수리
나는 회계사이 될 거예요,수리
나는 컴퓨터 프로그래머이 되고 싶어요,수리
나는 컴퓨터 프로그래머이 될 거예요,수리
나는 소설가이 되고 싶어요,수리
나는 소설가이 될 거예요,수리
나는 심리학자이 되고 싶어요,수리
나는 심리학자이 될 거예요,수리
나는 판사이 되고 싶어요,수리
나는 판사이 될 거예요,수리
나는 변호사이 되고 싶어요,수리
나는 변호사이 될 거예요,수리
나는 검사이 되고 싶어요,수리
나는 검사이 될 거예요,수리
나는 대학교수이 되고 싶어요,수리
나는 대학교수이 될 거예요,수리
나는 연구원이 되고 싶어요,수리
나는 연구원이 될 거예요,수리
나는 정보기관원이 되고 싶어요,수리
나는 정보기관원이 될 거예요,수리
나는 경리이 되고 싶어요,수리
나는 경리이 될 거예요,수리
나는 회계업무담당자이 되고 싶어요,수리
나는 회계업무담당자이 될 거예요,수리
나는 통계학자이 되고 싶어요,수리
나는 통계학자이 될 거예요,수리
나는 엔지니어이 되고 싶어요,수리
나는 엔지니어이 될 거예요,수리
나는 물리학자이 되고 싶어요,수리
나는 물리학자이 될 거예요,수리
나는 구매 대리인이 되고 싶어요,수리
나는 구매 대리인이 될 거예요,수리
나는 생활 설계사이 되고 싶어요,수리
나는 생활 설계사이 될 거예요,수리
